invoice_id,customer_id,date,due_date,total,amount_paid,status
INV000092,CUST0186,2022-01-06,2022-02-05,37121.84,37121.84,Paid
INV000070,CUST0138,2022-01-06,2022-02-05,19609.5,19609.5,Paid
INV000005,CUST0006,2022-01-06,2022-02-05,37612.45,37612.45,Paid
INV000091,CUST0184,2022-01-06,2022-02-05,34862.77,34862.77,Paid
INV000063,CUST0118,2022-01-06,2022-02-05,18787.41,18787.41,Paid
INV000085,CUST0171,2022-01-06,2022-02-05,16665.47,16665.47,Paid
INV000060,CUST0112,2022-01-06,2022-02-05,40667.87,40667.87,Paid
INV000052,CUST0099,2022-01-06,2022-02-05,44430.28,44430.28,Paid
INV000051,CUST0098,2022-01-06,2022-02-05,45830.46,45830.46,Paid
INV000076,CUST0154,2022-01-06,2022-02-05,38955.02,38955.02,Paid
INV000089,CUST0177,2022-01-06,2022-02-05,45292.74,45292.74,Paid
INV000099,CUST0211,2022-01-06,2022-02-05,30271.58,30271.58,Paid
INV000014,CUST0016,2022-01-06,2022-02-05,47692.43,47692.43,Paid
INV000022,CUST0041,2022-01-06,2022-02-05,60067.3,60067.3,Paid
INV000024,CUST0043,2022-01-06,2022-02-05,33511.75,33511.75,Paid
INV000040,CUST0079,2022-01-06,2022-02-05,35697.35,35697.35,Paid
INV000053,CUST0100,2022-01-07,2022-02-06,51172.41,51172.41,Paid
INV000029,CUST0057,2022-01-07,2022-02-06,30453.82,30453.82,Paid
INV000071,CUST0140,2022-01-07,2022-02-06,47413.47,47413.47,Paid
INV000003,CUST0003,2022-01-07,2022-02-06,48249.52,48249.52,Paid
INV000093,CUST0187,2022-01-07,2022-02-06,51719.46,51719.46,Paid
INV000007,CUST0009,2022-01-07,2022-02-06,31647.57,31647.57,Paid
INV000028,CUST0054,2022-01-07,2022-02-06,36892.65,36892.65,Paid
INV000066,CUST0129,2022-01-07,2022-02-06,41460.32,41460.32,Paid
INV000080,CUST0164,2022-01-07,2022-02-06,31743.92,31743.92,Paid
INV000037,CUST0072,2022-01-07,2022-02-06,38870.49,38870.49,Paid
INV000061,CUST0113,2022-01-07,2022-02-06,29426.51,29426.51,Paid
INV000041,CUST0081,2022-01-07,2022-02-06,43013.82,43013.82,Paid
INV000059,CUST0108,2022-01-07,2022-02-06,61014.12,61014.12,Paid
INV000023,CUST0042,2022-01-07,2022-02-06,48851.07,48851.07,Paid
INV000095,CUST0192,2022-01-07,2022-02-06,25955.69,25955.69,Paid
INV000006,CUST0007,2022-01-07,2022-02-06,55096.46,55096.46,Paid
INV000084,CUST0170,2022-01-07,2022-02-06,29766.49,29766.49,Paid
INV000018,CUST0028,2022-01-07,2022-02-06,38613.78,38613.78,Paid
INV000073,CUST0149,2022-01-07,2022-02-06,38318.17,21102.19,Partially Paid
INV000004,CUST0005,2022-01-07,2022-02-06,16647.38,16647.38,Paid
INV000083,CUST0169,2022-01-08,2022-02-07,34706.53,34706.53,Paid
INV000086,CUST0173,2022-01-08,2022-02-07,41338.65,41338.65,Paid
INV000048,CUST0094,2022-01-08,2022-02-07,44703.39,44703.39,Paid
INV000072,CUST0147,2022-01-08,2022-02-07,37909.37,37909.37,Paid
INV000033,CUST0064,2022-01-08,2022-02-07,39799.1,39799.1,Paid
INV000034,CUST0065,2022-01-08,2022-02-07,42853.3,42853.3,Paid
INV000094,CUST0188,2022-01-08,2022-02-07,41640.95,41640.95,Paid
INV000058,CUST0107,2022-01-08,2022-02-07,17036.87,17036.87,Paid
INV000097,CUST0202,2022-01-08,2022-02-07,55976.37,55976.37,Paid
INV000016,CUST0022,2022-01-08,2022-02-07,32032.91,32032.91,Paid
INV000043,CUST0085,2022-01-08,2022-02-07,38170.58,38170.58,Paid
INV000008,CUST0010,2022-01-08,2022-02-07,25030.25,25030.25,Paid
INV000049,CUST0095,2022-01-08,2022-02-07,64249.13,64249.13,Paid
INV000075,CUST0151,2022-01-08,2022-02-07,35081.73,27135.97,Partially Paid
INV000068,CUST0135,2022-01-08,2022-02-07,24440.05,24440.05,Paid
INV000102,CUST0217,2022-01-09,2022-02-08,56645.35,56645.35,Paid
INV000096,CUST0201,2022-01-09,2022-02-08,58116.59,58116.59,Paid
INV000087,CUST0174,2022-01-09,2022-02-08,43215.89,43215.89,Paid
INV000082,CUST0168,2022-01-09,2022-02-08,38583.69,38583.69,Paid
INV000002,CUST0002,2022-01-09,2022-02-08,23510.27,23510.27,Paid
INV000009,CUST0011,2022-01-09,2022-02-08,22569.54,22569.54,Paid
INV000038,CUST0074,2022-01-09,2022-02-08,8016.38,8016.38,Paid
INV000046,CUST0090,2022-01-09,2022-02-08,37095.64,37095.64,Paid
INV000050,CUST0096,2022-01-09,2022-02-08,34554.51,34554.51,Paid
INV000030,CUST0058,2022-01-09,2022-02-08,35977.22,35977.22,Paid
INV000056,CUST0105,2022-01-09,2022-02-08,64566.87,64566.87,Paid
INV000057,CUST0106,2022-01-09,2022-02-08,36471.08,36471.08,Paid
INV000064,CUST0119,2022-01-09,2022-02-08,32136.43,32136.43,Paid
INV000069,CUST0136,2022-01-09,2022-02-08,32225.33,32225.33,Paid
INV000078,CUST0161,2022-01-09,2022-02-08,31727.6,31727.6,Paid
INV000055,CUST0103,2022-01-09,2022-02-08,61516.63,61516.63,Paid
INV000180,CUST0152,2022-01-10,2022-02-09,23441.61,23441.61,Paid
INV000136,CUST0076,2022-01-10,2022-02-09,13708.1,6293.56,Partially Paid
INV000200,CUST0192,2022-01-10,2022-02-09,25803.19,25803.19,Paid
INV000191,CUST0172,2022-01-10,2022-02-09,41338.86,41338.86,Paid
INV000147,CUST0094,2022-01-10,2022-02-09,37200.53,37200.53,Paid
INV000183,CUST0158,2022-01-10,2022-02-09,37067.69,37067.69,Paid
INV000115,CUST0027,2022-01-10,2022-02-09,27790.93,27790.93,Paid
INV000154,CUST0106,2022-01-10,2022-02-09,34492.58,34492.58,Paid
INV000125,CUST0052,2022-01-10,2022-02-09,37295.6,37295.6,Paid
INV000170,CUST0129,2022-01-10,2022-02-09,39560.88,39560.88,Paid
INV000215,CUST0222,2022-01-10,2022-02-09,21179.5,21179.5,Paid
INV000104,CUST0001,2022-01-10,2022-02-09,35552.89,35552.89,Paid
INV000157,CUST0109,2022-01-11,2022-02-10,45275.94,45275.94,Paid
INV000162,CUST0115,2022-01-11,2022-02-10,33690.83,33690.83,Paid
INV000164,CUST0117,2022-01-11,2022-02-10,43069.39,43069.39,Paid
INV000134,CUST0074,2022-01-11,2022-02-10,8318.16,8318.16,Paid
INV000148,CUST0097,2022-01-11,2022-02-10,25114.61,25114.61,Paid
INV000184,CUST0159,2022-01-11,2022-02-10,22441.82,22441.82,Paid
INV000196,CUST0185,2022-01-11,2022-02-10,40399.75,40399.75,Paid
INV000171,CUST0131,2022-01-11,2022-02-10,26828.11,26828.11,Paid
INV000156,CUST0108,2022-01-11,2022-02-10,64481.47,64481.47,Paid
INV000167,CUST0126,2022-01-11,2022-02-10,40397.2,40397.2,Paid
INV000204,CUST0200,2022-01-11,2022-02-10,35966.06,35966.06,Paid
INV000211,CUST0212,2022-01-11,2022-02-10,17719.17,17719.17,Paid
INV000112,CUST0019,2022-01-11,2022-02-10,15291.01,15291.01,Paid
INV000114,CUST0023,2022-01-11,2022-02-10,48051.19,48051.19,Paid
INV000116,CUST0028,2022-01-11,2022-02-10,40164.43,40164.43,Paid
INV000207,CUST0204,2022-01-11,2022-02-10,30273.73,30273.73,Paid
INV000122,CUST0035,2022-01-11,2022-02-10,23584.34,23584.34,Paid
INV000109,CUST0015,2022-01-11,2022-02-10,28759.63,28759.63,Paid
INV000173,CUST0133,2022-01-12,2022-02-11,12854.21,12854.21,Paid
INV000163,CUST0116,2022-01-12,2022-02-11,33445.07,33445.07,Paid
INV000212,CUST0213,2022-01-12,2022-02-11,34525.65,34525.65,Paid
INV000161,CUST0113,2022-01-12,2022-02-11,30145.98,30145.98,Paid
INV000181,CUST0155,2022-01-12,2022-02-11,33615.27,33615.27,Paid
INV000209,CUST0206,2022-01-12,2022-02-11,51124.3,51124.3,Paid
INV000213,CUST0214,2022-01-12,2022-02-11,54338.49,54338.49,Paid
INV000188,CUST0168,2022-01-12,2022-02-11,37302.79,37302.79,Paid
INV000165,CUST0118,2022-01-12,2022-02-11,18401.17,18401.17,Paid
INV000129,CUST0061,2022-01-12,2022-02-11,33602.98,33602.98,Paid
INV000131,CUST0067,2022-01-12,2022-02-11,44503.42,44503.42,Paid
INV000172,CUST0132,2022-01-12,2022-02-11,16182.55,10550.18,Partially Paid
INV000124,CUST0046,2022-01-12,2022-02-11,50413.7,50413.7,Paid
INV000169,CUST0128,2022-01-12,2022-02-11,30836.6,30836.6,Paid
INV000187,CUST0165,2022-01-13,2022-02-12,25555.24,25555.24,Paid
INV000128,CUST0057,2022-01-13,2022-02-12,31258.23,31258.23,Paid
INV000130,CUST0064,2022-01-13,2022-02-12,36358.35,36358.35,Paid
INV000160,CUST0112,2022-01-13,2022-02-12,40763.28,40763.28,Paid
INV000178,CUST0146,2022-01-13,2022-02-12,9793.68,9793.68,Paid
INV000155,CUST0107,2022-01-13,2022-02-12,18398.88,15949.76,Partially Paid
INV000210,CUST0211,2022-01-13,2022-02-12,29067.54,29067.54,Paid
INV000126,CUST0055,2022-01-13,2022-02-12,37245.73,37245.73,Paid
INV000201,CUST0193,2022-01-13,2022-02-12,29445.61,29445.61,Paid
INV000117,CUST0029,2022-01-13,2022-02-12,48289.74,48289.74,Paid
INV000121,CUST0034,2022-01-13,2022-02-12,35238.22,35238.22,Paid
INV000193,CUST0174,2022-01-13,2022-02-12,46077.1,46077.1,Paid
INV000214,CUST0218,2022-01-13,2022-02-12,38652.33,38652.33,Paid
INV000175,CUST0143,2022-01-13,2022-02-12,38257.5,38257.5,Paid
INV000153,CUST0105,2022-01-13,2022-02-12,59982.3,59982.3,Paid
INV000119,CUST0032,2022-01-13,2022-02-12,25198.64,25198.64,Paid
INV000216,CUST0223,2022-01-14,2022-02-13,43107.5,43107.5,Paid
INV000176,CUST0144,2022-01-14,2022-02-13,11423.74,11423.74,Paid
INV000205,CUST0201,2022-01-14,2022-02-13,48408.59,48408.59,Paid
INV000185,CUST0163,2022-01-14,2022-02-13,23598.26,23598.26,Paid
INV000186,CUST0164,2022-01-14,2022-02-13,31391.46,31391.46,Paid
INV000189,CUST0169,2022-01-14,2022-02-13,36294.95,36294.95,Paid
INV000208,CUST0205,2022-01-14,2022-02-13,64181.59,64181.59,Paid
INV000203,CUST0195,2022-01-14,2022-02-13,45681.94,45681.94,Paid
INV000177,CUST0145,2022-01-14,2022-02-13,42334.21,42334.21,Paid
INV000182,CUST0157,2022-01-14,2022-02-13,35851.7,35851.7,Paid
INV000199,CUST0190,2022-01-14,2022-02-13,23119.99,23119.99,Paid
INV000168,CUST0127,2022-01-14,2022-02-13,37615.27,37615.27,Paid
INV000107,CUST0009,2022-01-14,2022-02-13,32488.72,32488.72,Paid
INV000108,CUST0013,2022-01-14,2022-02-13,37109.71,37109.71,Paid
INV000111,CUST0018,2022-01-14,2022-02-13,32069.48,32069.48,Paid
INV000127,CUST0056,2022-01-14,2022-02-13,44421.08,44421.08,Paid
INV000138,CUST0080,2022-01-14,2022-02-13,52135.43,52135.43,Paid
INV000141,CUST0086,2022-01-14,2022-02-13,11188.2,11188.2,Paid
INV000143,CUST0088,2022-01-14,2022-02-13,22670.44,22670.44,Paid
INV000145,CUST0092,2022-01-14,2022-02-13,44414.06,44414.06,Paid
INV000120,CUST0033,2022-01-14,2022-02-13,47399.96,47399.96,Paid
INV000149,CUST0099,2022-01-15,2022-02-14,45982.41,45982.41,Paid
INV000123,CUST0040,2022-01-15,2022-02-14,38270.41,38270.41,Paid
INV000206,CUST0202,2022-01-15,2022-02-14,55854.59,55854.59,Paid
INV000132,CUST0069,2022-01-15,2022-02-14,37038.2,37038.2,Paid
INV000202,CUST0194,2022-01-15,2022-02-14,24789.72,24789.72,Paid
INV000137,CUST0079,2022-01-15,2022-02-14,36069.23,36069.23,Paid
INV000106,CUST0008,2022-01-15,2022-02-14,17963.33,17963.33,Paid
INV000198,CUST0189,2022-01-15,2022-02-14,8754.93,8754.93,Paid
INV000158,CUST0110,2022-01-15,2022-02-14,46089.09,46089.09,Paid
INV000105,CUST0005,2022-01-15,2022-02-14,15961.51,15961.51,Paid
INV000197,CUST0186,2022-01-15,2022-02-14,35870.99,35870.99,Paid
INV000139,CUST0083,2022-01-15,2022-02-14,42404.98,42404.98,Paid
INV000192,CUST0173,2022-01-15,2022-02-14,43738.17,43738.17,Paid
INV000140,CUST0085,2022-01-15,2022-02-14,33659.42,33659.42,Paid
INV000190,CUST0170,2022-01-15,2022-02-14,33038.8,33038.8,Paid
INV000151,CUST0101,2022-01-15,2022-02-14,39755.77,39755.77,Paid
INV000142,CUST0087,2022-01-15,2022-02-14,36610.92,36610.92,Paid
INV000150,CUST0100,2022-01-15,2022-02-14,45530.69,45530.69,Paid
INV000144,CUST0089,2022-01-15,2022-02-14,55618.67,55618.67,Paid
INV000195,CUST0180,2022-01-15,2022-02-14,12535.86,12535.86,Paid
INV000174,CUST0134,2022-01-16,2022-02-15,39637.4,39637.4,Paid
INV000166,CUST0121,2022-01-16,2022-02-15,29055.04,29055.04,Paid
INV000146,CUST0093,2022-01-16,2022-02-15,39302.55,39302.55,Paid
INV000110,CUST0016,2022-01-16,2022-02-15,46251.66,46251.66,Paid
INV000113,CUST0022,2022-01-16,2022-02-15,33260.29,0.0,Overdue
INV000159,CUST0111,2022-01-16,2022-02-15,38108.94,38108.94,Paid
INV000179,CUST0147,2022-01-16,2022-02-15,36408.01,36408.01,Paid
INV000133,CUST0071,2022-01-16,2022-02-15,54424.94,54424.94,Paid
INV000135,CUST0075,2022-01-16,2022-02-15,41391.25,30084.89,Partially Paid
INV000152,CUST0103,2022-01-16,2022-02-15,54875.97,54875.97,Paid
INV000118,CUST0031,2022-01-16,2022-02-15,20559.72,20559.72,Paid
INV000194,CUST0175,2022-01-16,2022-02-15,29122.69,29122.69,Paid
INV000226,CUST0017,2022-01-17,2022-02-16,32142.1,0.0,Overdue
INV000254,CUST0065,2022-01-17,2022-02-16,43888.82,43888.82,Paid
INV000251,CUST0058,2022-01-17,2022-02-16,37688.39,37688.39,Paid
INV000291,CUST0158,2022-01-17,2022-02-16,38655.91,38655.91,Paid
INV000317,CUST0209,2022-01-17,2022-02-16,33785.89,33785.89,Paid
INV000288,CUST0152,2022-01-17,2022-02-16,21151.6,21151.6,Paid
INV000322,CUST0221,2022-01-17,2022-02-16,20851.89,20851.89,Paid
INV000250,CUST0056,2022-01-17,2022-02-16,52008.05,52008.05,Paid
INV000314,CUST0203,2022-01-17,2022-02-16,15941.77,15941.77,Paid
INV000236,CUST0034,2022-01-17,2022-02-16,40152.09,33299.92,Partially Paid
INV000222,CUST0009,2022-01-17,2022-02-16,27212.92,27212.92,Paid
INV000306,CUST0186,2022-01-17,2022-02-16,32779.22,20945.74,Partially Paid
INV000320,CUST0219,2022-01-17,2022-02-16,21050.45,21050.45,Paid
INV000273,CUST0114,2022-01-17,2022-02-16,29250.12,29250.12,Paid
INV000307,CUST0187,2022-01-17,2022-02-16,50546.98,50546.98,Paid
INV000282,CUST0142,2022-01-17,2022-02-16,60906.97,60906.97,Paid
INV000276,CUST0122,2022-01-17,2022-02-16,27138.81,27138.81,Paid
INV000297,CUST0169,2022-01-17,2022-02-16,34096.1,34096.1,Paid
INV000235,CUST0033,2022-01-17,2022-02-16,39765.67,39765.67,Paid
INV000244,CUST0043,2022-01-18,2022-02-17,34217.13,34217.13,Paid
INV000257,CUST0071,2022-01-18,2022-02-17,47456.19,47456.19,Paid
INV000264,CUST0088,2022-01-18,2022-02-17,19000.85,19000.85,Paid
INV000265,CUST0093,2022-01-18,2022-02-17,41545.49,41545.49,Paid
INV000271,CUST0106,2022-01-18,2022-02-17,40095.68,40095.68,Paid
INV000296,CUST0167,2022-01-18,2022-02-17,29705.4,29705.4,Paid
INV000243,CUST0042,2022-01-18,2022-02-17,51961.7,51961.7,Paid
INV000227,CUST0020,2022-01-18,2022-02-17,48571.71,48571.71,Paid
INV000220,CUST0007,2022-01-18,2022-02-17,54384.51,54384.51,Paid
INV000305,CUST0185,2022-01-18,2022-02-17,46106.18,46106.18,Paid
INV000239,CUST0037,2022-01-18,2022-02-17,15328.98,15328.98,Paid
INV000321,CUST0220,2022-01-18,2022-02-17,43166.66,43166.66,Paid
INV000311,CUST0195,2022-01-19,2022-02-18,45572.0,45572.0,Paid
INV000323,CUST0223,2022-01-19,2022-02-18,37052.3,37052.3,Paid
INV000225,CUST0014,2022-01-19,2022-02-18,16697.6,7824.59,Partially Paid
INV000299,CUST0172,2022-01-19,2022-02-18,42824.55,42824.55,Paid
INV000260,CUST0077,2022-01-19,2022-02-18,20513.18,20513.18,Paid
INV000231,CUST0026,2022-01-19,2022-02-18,42475.28,42475.28,Paid
INV000280,CUST0137,2022-01-19,2022-02-18,31553.83,31553.83,Paid
INV000303,CUST0180,2022-01-19,2022-02-18,14116.85,14116.85,Paid
INV000246,CUST0046,2022-01-19,2022-02-18,48942.38,48942.38,Paid
INV000298,CUST0171,2022-01-19,2022-02-18,15108.69,15108.69,Paid
INV000284,CUST0145,2022-01-20,2022-02-19,50134.39,50134.39,Paid
INV000277,CUST0125,2022-01-20,2022-02-19,59295.33,59295.33,Paid
INV000324,CUST0225,2022-01-20,2022-02-19,44658.86,44658.86,Paid
INV000275,CUST0121,2022-01-20,2022-02-19,28196.83,28196.83,Paid
INV000308,CUST0188,2022-01-20,2022-02-19,49371.74,49371.74,Paid
INV000240,CUST0038,2022-01-20,2022-02-19,72445.55,72445.55,Paid
INV000283,CUST0144,2022-01-20,2022-02-19,14641.73,14641.73,Paid
INV000313,CUST0202,2022-01-20,2022-02-19,58427.15,58427.15,Paid
INV000223,CUST0012,2022-01-20,2022-02-19,16805.41,16805.41,Paid
INV000315,CUST0206,2022-01-20,2022-02-19,43580.83,43580.83,Paid
INV000230,CUST0024,2022-01-20,2022-02-19,41320.64,41320.64,Paid
INV000247,CUST0049,2022-01-20,2022-02-19,27801.95,27801.95,Paid
INV000278,CUST0130,2022-01-20,2022-02-19,38682.39,38682.39,Paid
INV000304,CUST0183,2022-01-20,2022-02-19,44378.6,44378.6,Paid
INV000316,CUST0207,2022-01-20,2022-02-19,25567.83,25567.83,Paid
INV000238,CUST0036,2022-01-20,2022-02-19,41821.93,41821.93,Paid
INV000290,CUST0154,2022-01-20,2022-02-19,36266.96,36266.96,Paid
INV000232,CUST0027,2022-01-20,2022-02-19,29359.44,29359.44,Paid
INV000292,CUST0160,2022-01-20,2022-02-19,37067.41,37067.41,Paid
INV000301,CUST0178,2022-01-21,2022-02-20,13101.01,13101.01,Paid
INV000312,CUST0200,2022-01-21,2022-02-20,32408.98,32408.98,Paid
INV000293,CUST0161,2022-01-21,2022-02-20,28276.68,28276.68,Paid
INV000310,CUST0193,2022-01-21,2022-02-20,32920.21,32920.21,Paid
INV000253,CUST0064,2022-01-21,2022-02-20,35746.67,35746.67,Paid
INV000274,CUST0117,2022-01-21,2022-02-20,36262.1,36262.1,Paid
INV000272,CUST0111,2022-01-21,2022-02-20,41612.57,41612.57,Paid
INV000267,CUST0095,2022-01-21,2022-02-20,60123.4,60123.4,Paid
INV000217,CUST0003,2022-01-21,2022-02-20,40448.56,40448.56,Paid
INV000218,CUST0004,2022-01-21,2022-02-20,26078.13,26078.13,Paid
INV000252,CUST0059,2022-01-21,2022-02-20,17410.37,9880.54,Partially Paid
INV000263,CUST0087,2022-01-21,2022-02-20,33731.39,33731.39,Paid
INV000279,CUST0134,2022-01-21,2022-02-20,44285.2,44285.2,Paid
INV000319,CUST0214,2022-01-21,2022-02-20,53132.91,53132.91,Paid
INV000255,CUST0066,2022-01-21,2022-02-20,30168.1,30168.1,Paid
INV000302,CUST0179,2022-01-22,2022-02-21,10868.41,10868.41,Paid
INV000224,CUST0013,2022-01-22,2022-02-21,32231.17,32231.17,Paid
INV000229,CUST0023,2022-01-22,2022-02-21,45284.98,45284.98,Paid
INV000237,CUST0035,2022-01-22,2022-02-21,23492.64,13672.44,Partially Paid
INV000221,CUST0008,2022-01-22,2022-02-21,17554.77,17554.77,Paid
INV000234,CUST0032,2022-01-22,2022-02-21,33122.02,33122.02,Paid
INV000241,CUST0039,2022-01-22,2022-02-21,13869.77,13869.77,Paid
INV000281,CUST0140,2022-01-22,2022-02-21,41580.74,41580.74,Paid
INV000248,CUST0052,2022-01-22,2022-02-21,39598.53,39598.53,Paid
INV000249,CUST0053,2022-01-22,2022-02-21,41318.98,41318.98,Paid
INV000294,CUST0164,2022-01-22,2022-02-21,28025.55,28025.55,Paid
INV000256,CUST0070,2022-01-22,2022-02-21,72215.47,72215.47,Paid
INV000289,CUST0153,2022-01-22,2022-02-21,22421.59,22421.59,Paid
INV000287,CUST0151,2022-01-22,2022-02-21,30249.21,30249.21,Paid
INV000266,CUST0094,2022-01-22,2022-02-21,44056.21,44056.21,Paid
INV000285,CUST0146,2022-01-22,2022-02-21,9809.59,9809.59,Paid
INV000309,CUST0192,2022-01-22,2022-02-21,21742.78,21742.78,Paid
INV000242,CUST0040,2022-01-22,2022-02-21,39314.91,39314.91,Paid
INV000318,CUST0212,2022-01-23,2022-02-22,18185.26,18185.26,Paid
INV000286,CUST0149,2022-01-23,2022-02-22,33348.31,33348.31,Paid
INV000295,CUST0166,2022-01-23,2022-02-22,41349.18,41349.18,Paid
INV000300,CUST0173,2022-01-23,2022-02-22,36216.47,36216.47,Paid
INV000219,CUST0006,2022-01-23,2022-02-22,37147.15,37147.15,Paid
INV000228,CUST0022,2022-01-23,2022-02-22,32786.74,32786.74,Paid
INV000245,CUST0044,2022-01-23,2022-02-22,27695.98,27695.98,Paid
INV000258,CUST0073,2022-01-23,2022-02-22,32731.38,32731.38,Paid
INV000233,CUST0028,2022-01-23,2022-02-22,35454.34,35454.34,Paid
INV000261,CUST0079,2022-01-23,2022-02-22,33208.05,33208.05,Paid
INV000262,CUST0082,2022-01-23,2022-02-22,26847.33,26847.33,Paid
INV000268,CUST0096,2022-01-23,2022-02-22,38431.56,38431.56,Paid
INV000269,CUST0100,2022-01-23,2022-02-22,50743.98,50743.98,Paid
INV000270,CUST0105,2022-01-23,2022-02-22,51748.55,51748.55,Paid
INV000259,CUST0075,2022-01-23,2022-02-22,37236.06,37236.06,Paid
INV000364,CUST0102,2022-01-24,2022-02-23,42013.92,42013.92,Paid
INV000348,CUST0067,2022-01-24,2022-02-23,46786.81,46786.81,Paid
INV000350,CUST0075,2022-01-24,2022-02-23,40179.35,40179.35,Paid
INV000361,CUST0097,2022-01-24,2022-02-23,29743.92,29743.92,Paid
INV000363,CUST0099,2022-01-24,2022-02-23,52589.29,52589.29,Paid
INV000408,CUST0184,2022-01-24,2022-02-23,34373.73,34373.73,Paid
INV000394,CUST0157,2022-01-24,2022-02-23,32443.98,32443.98,Paid
INV000380,CUST0129,2022-01-24,2022-02-23,39592.8,39592.8,Paid
INV000382,CUST0132,2022-01-24,2022-02-23,16657.1,16657.1,Paid
INV000388,CUST0143,2022-01-24,2022-02-23,33781.67,33781.67,Paid
INV000392,CUST0153,2022-01-24,2022-02-23,23967.81,23967.81,Paid
INV000418,CUST0207,2022-01-24,2022-02-23,24764.3,24764.3,Paid
INV000395,CUST0162,2022-01-24,2022-02-23,9892.29,9892.29,Paid
INV000376,CUST0121,2022-01-24,2022-02-23,27577.17,27577.17,Paid
INV000343,CUST0052,2022-01-24,2022-02-23,35799.79,35799.79,Paid
INV000354,CUST0087,2022-01-24,2022-02-23,39703.01,39703.01,Paid
INV000330,CUST0021,2022-01-24,2022-02-23,19784.18,19784.18,Paid
INV000398,CUST0169,2022-01-24,2022-02-23,32023.54,32023.54,Paid
INV000349,CUST0071,2022-01-25,2022-02-24,53251.57,53251.57,Paid
INV000390,CUST0147,2022-01-25,2022-02-24,35935.65,35935.65,Paid
INV000399,CUST0170,2022-01-25,2022-02-24,23151.73,23151.73,Paid
INV000351,CUST0077,2022-01-25,2022-02-24,19676.54,19676.54,Paid
INV000372,CUST0117,2022-01-25,2022-02-24,34116.78,34116.78,Paid
INV000393,CUST0154,2022-01-25,2022-02-24,33414.54,33414.54,Paid
INV000346,CUST0060,2022-01-25,2022-02-24,47654.57,47654.57,Paid
INV000374,CUST0119,2022-01-25,2022-02-24,25533.2,25533.2,Paid
INV000375,CUST0120,2022-01-25,2022-02-24,28248.58,28248.58,Paid
INV000329,CUST0020,2022-01-26,2022-02-25,47971.31,47971.31,Paid
INV000387,CUST0140,2022-01-26,2022-02-25,37250.67,37250.67,Paid
INV000368,CUST0111,2022-01-26,2022-02-25,40339.85,40339.85,Paid
INV000327,CUST0011,2022-01-26,2022-02-25,25173.17,25173.17,Paid
INV000377,CUST0123,2022-01-26,2022-02-25,29605.11,29605.11,Paid
